Bid ID,Client,Sector,Budget,Score (%),Outcome,Response Time (hrs),Compliance %,Doc Pages,Gaps Found,Bid Manager,Submission Date,Budget_M,Submission_Month,Submission_Quarter
BID-0227,NBP,Energy,PKR 179.1M,71,Loss,79,80,73,4,Kamran Ali,2025-03-03,179.1,3,1
BID-0228,WAPDA,Energy,PKR 389.2M,84,Win,144,99,126,5,Faiza Iqbal,2025-10-13,389.2,10,4
BID-0229,OGDCL,IT Services,PKR 187.8M,68,Win,130,75,71,3,Kamran Ali,2025-01-22,187.8,1,1
BID-0230,Jazz,Healthcare,PKR 431.9M,73,Win,33,72,256,2,Bilal Sheikh,2025-07-31,431.9,7,3
BID-0231,WAPDA,Construction,PKR 117.6M,70,Win,103,91,291,3,Sara Malik,2025-05-06,117.6,5,2
BID-0232,PTCL,Telecom,PKR 487.5M,79,Win,149,99,196,2,Bilal Sheikh,2025-02-11,487.5,2,1
BID-0233,PIMS,Healthcare,PKR 392.1M,85,Loss,89,86,308,2,Faiza Iqbal,2025-04-08,392.1,4,2
BID-0234,PSO,Education,PKR 66.0M,66,Win,164,90,118,4,Usman Raza,2025-01-31,66.0,1,1
BID-0235,PIMS,Telecom,PKR 287.2M,65,Loss,142,71,408,1,Nadia Ahmed,2025-06-07,287.2,6,2
BID-0236,NEPRA,Telecom,PKR 492.8M,48,Loss,108,89,207,5,Asif Khan,2025-04-22,492.8,4,2
BID-0237,PEMRA,Energy,PKR 240.8M,83,Win,47,65,432,2,Kamran Ali,2025-09-04,240.8,9,3
BID-0238,NEPRA,Construction,PKR 99.2M,77,Loss,85,75,226,3,Tariq Mehmood,2025-05-02,99.2,5,2
BID-0239,NLC,Construction,PKR 247.5M,80,Win,24,80,336,6,Kamran Ali,2025-09-30,247.5,9,3
BID-0240,PIMS,Logistics,PKR 261.1M,60,Win,64,58,296,3,Zara Hussain,2025-10-21,261.1,10,4
BID-0241,PSO,Finance,PKR 373.4M,64,Loss,66,88,297,3,Hira Noor,2025-07-26,373.4,7,3
BID-0242,CDA,Finance,PKR 352.4M,58,Loss,50,72,103,7,Faiza Iqbal,2025-04-20,352.4,4,2
BID-0243,OGDCL,Finance,PKR 207.2M,63,Win,158,94,37,3,Bilal Sheikh,2025-10-05,207.2,10,4
BID-0244,FWO,Finance,PKR 116.8M,75,Win,29,89,437,1,Tariq Mehmood,2025-02-25,116.8,2,1
BID-0245,OGDCL,Education,PKR 326.1M,57,Loss,137,95,326,0,Usman Raza,2025-02-26,326.1,2,1
BID-0246,FWO,Education,PKR 216.6M,86,Win,33,83,193,3,Usman Raza,2025-10-18,216.6,10,4
BID-0247,PEMRA,Telecom,PKR 74.8M,71,Win,99,83,114,1,Usman Raza,2025-04-24,74.8,4,2
BID-0248,PSO,IT Services,PKR 451.3M,74,Win,112,92,101,2,Asif Khan,2025-11-04,451.3,11,4
BID-0249,PTCL,Energy,PKR 348.7M,77,Loss,29,96,84,1,Zara Hussain,2025-12-07,348.7,12,4
BID-0250,WAPDA,Energy,PKR 344.8M,66,Win,95,75,422,3,Usman Raza,2025-07-17,344.8,7,3
BID-0251,SBP,Finance,PKR 413.1M,83,Win,113,96,76,1,Usman Raza,2025-11-17,413.1,11,4
BID-0252,PIMS,Telecom,PKR 269.5M,54,Loss,124,67,428,2,Faiza Iqbal,2025-06-28,269.5,6,2
BID-0253,NBP,Logistics,PKR 409.4M,87,Win,20,95,267,4,Zara Hussain,2025-08-07,409.4,8,3
BID-0254,FWO,Healthcare,PKR 254.1M,74,Win,152,71,133,3,Nadia Ahmed,2025-10-04,254.1,10,4
BID-0255,PSO,IT Services,PKR 42.9M,66,Loss,39,63,239,4,Nadia Ahmed,2025-01-16,42.9,1,1
BID-0256,NESPAK,Telecom,PKR 208.6M,80,Win,27,95,71,2,Zara Hussain,2025-03-02,208.6,3,1
BID-0257,NDMA,IT Services,PKR 253.8M,75,Win,20,55,345,2,Hira Noor,2025-02-23,253.8,2,1
BID-0258,PEMRA,IT Services,PKR 362.9M,55,Loss,76,56,297,3,Asif Khan,2025-06-17,362.9,6,2
BID-0259,Jazz,IT Services,PKR 62.2M,66,Loss,83,83,415,1,Tariq Mehmood,2025-01-26,62.2,1,1
BID-0260,Jazz,Telecom,PKR 78.6M,64,Loss,137,87,292,2,Kamran Ali,2025-12-02,78.6,12,4
BID-0261,PAF,Finance,PKR 139.2M,59,Win,47,64,365,4,Faiza Iqbal,2025-03-06,139.2,3,1
BID-0262,NDMA,Energy,PKR 140.6M,67,Loss,140,94,416,6,Sara Malik,2025-04-10,140.6,4,2
BID-0263,WAPDA,Energy,PKR 368.8M,55,Loss,126,75,394,4,Nadia Ahmed,2025-03-15,368.8,3,1
BID-0264,NLC,Finance,PKR 132.9M,80,Win,68,82,288,1,Zara Hussain,2025-07-11,132.9,7,3
BID-0265,FWO,IT Services,PKR 320.2M,55,Loss,139,65,312,4,Tariq Mehmood,2025-06-20,320.2,6,2
BID-0266,BISP,Healthcare,PKR 252.2M,64,Loss,63,88,143,4,Zara Hussain,2025-09-30,252.2,9,3
BID-0267,FWO,Construction,PKR 290.9M,75,Loss,75,62,392,1,Kamran Ali,2025-07-06,290.9,7,3
BID-0268,HEC,Telecom,PKR 420.7M,41,Loss,130,76,69,5,Tariq Mehmood,2025-01-23,420.7,1,1
BID-0269,PSO,Construction,PKR 208.1M,53,Loss,153,62,446,2,Nadia Ahmed,2025-06-30,208.1,6,2
BID-0270,NDMA,Logistics,PKR 387.7M,59,Loss,127,69,249,1,Usman Raza,2025-11-23,387.7,11,4
BID-0271,OGDCL,Finance,PKR 216.8M,45,Loss,167,71,158,4,Zara Hussain,2025-04-18,216.8,4,2
BID-0272,PIMS,Healthcare,PKR 183.4M,81,Loss,133,77,37,3,Sara Malik,2025-12-01,183.4,12,4
BID-0273,NBP,Telecom,PKR 479.7M,80,Loss,97,78,130,3,Nadia Ahmed,2025-06-11,479.7,6,2
BID-0274,NBP,Finance,PKR 100.3M,65,Win,149,99,445,6,Bilal Sheikh,2025-10-29,100.3,10,4
BID-0275,NESPAK,IT Services,PKR 54.3M,66,Loss,56,73,409,4,Sara Malik,2025-07-25,54.3,7,3
BID-0276,PEMRA,Energy,PKR 387.8M,43,Loss,39,59,205,9,Hira Noor,2025-03-19,387.8,3,1
BID-0277,Jazz,Construction,PKR 43.4M,77,Loss,45,86,136,3,Asif Khan,2025-01-16,43.4,1,1
BID-0278,PIMS,Education,PKR 420.2M,81,Win,48,98,130,2,Nadia Ahmed,2025-11-23,420.2,11,4
BID-0279,CDA,Education,PKR 224.2M,63,Win,20,55,289,3,Usman Raza,2025-04-06,224.2,4,2
BID-0280,HEC,Healthcare,PKR 458.6M,47,Loss,138,77,395,2,Nadia Ahmed,2025-05-27,458.6,5,2
BID-0281,NBP,IT Services,PKR 363.6M,74,Win,54,91,275,5,Kamran Ali,2025-01-02,363.6,1,1
BID-0282,PEMRA,Logistics,PKR 309.1M,54,Win,78,62,304,4,Tariq Mehmood,2025-01-10,309.1,1,1
BID-0283,PIMS,Construction,PKR 475.2M,97,Win,88,67,61,3,Zara Hussain,2025-05-05,475.2,5,2
BID-0284,FWO,IT Services,PKR 204.4M,70,Loss,31,62,166,5,Tariq Mehmood,2025-03-22,204.4,3,1
BID-0285,PTCL,Construction,PKR 477.5M,83,Win,39,77,41,3,Tariq Mehmood,2025-05-20,477.5,5,2
BID-0286,FWO,Healthcare,PKR 76.2M,75,Win,62,97,424,1,Nadia Ahmed,2025-11-22,76.2,11,4
BID-0287,PIMS,Healthcare,PKR 247.0M,60,Loss,145,55,331,3,Kamran Ali,2025-05-30,247.0,5,2
BID-0288,NEPRA,Logistics,PKR 142.3M,67,Win,69,99,404,7,Zara Hussain,2025-10-15,142.3,10,4
BID-0289,PIA,Education,PKR 274.5M,96,Win,48,78,45,3,Zara Hussain,2025-12-27,274.5,12,4
BID-0290,PIMS,IT Services,PKR 89.4M,76,Win,58,89,158,2,Tariq Mehmood,2025-12-06,89.4,12,4
BID-0291,WAPDA,Telecom,PKR 422.3M,67,Loss,57,78,92,5,Hira Noor,2025-05-09,422.3,5,2
BID-0292,PEMRA,Education,PKR 424.7M,64,Loss,103,71,138,2,Asif Khan,2025-08-27,424.7,8,3
BID-0293,NEPRA,IT Services,PKR 478.1M,47,Loss,147,59,404,4,Kamran Ali,2025-02-27,478.1,2,1
BID-0294,BISP,Education,PKR 85.8M,67,Loss,145,74,50,1,Hira Noor,2025-07-17,85.8,7,3
BID-0295,NLC,Telecom,PKR 315.4M,88,Win,64,75,187,3,Faiza Iqbal,2025-07-30,315.4,7,3
BID-0296,PIA,Energy,PKR 242.4M,74,Win,71,94,298,8,Faiza Iqbal,2025-02-14,242.4,2,1
BID-0297,NLC,Energy,PKR 178.7M,94,Loss,99,85,191,3,Sara Malik,2025-04-07,178.7,4,2
BID-0298,NBP,Logistics,PKR 182.3M,64,Loss,143,90,289,5,Tariq Mehmood,2025-10-06,182.3,10,4
BID-0299,WAPDA,Energy,PKR 212.3M,56,Win,138,65,441,6,Zara Hussain,2025-01-23,212.3,1,1
BID-0300,FWO,Energy,PKR 355.4M,71,Loss,27,69,131,5,Nadia Ahmed,2025-12-01,355.4,12,4
BID-0301,CDA,Finance,PKR 303.2M,67,Loss,104,73,252,4,Zara Hussain,2025-02-13,303.2,2,1
BID-0302,ERRA,Construction,PKR 235.2M,65,Loss,148,61,88,3,Zara Hussain,2025-01-27,235.2,1,1
BID-0303,PSO,Finance,PKR 47.2M,90,Win,27,82,276,4,Usman Raza,2025-10-09,47.2,10,4
BID-0304,SBP,Finance,PKR 48.1M,82,Win,115,97,157,0,Zara Hussain,2025-04-07,48.1,4,2
BID-0305,PIA,Logistics,PKR 11.1M,41,Loss,121,59,312,8,Sara Malik,2025-02-05,11.1,2,1
BID-0306,PIMS,Finance,PKR 484.2M,46,Loss,24,59,354,2,Hira Noor,2025-04-19,484.2,4,2
BID-0307,NEPRA,Energy,PKR 12.6M,80,Win,105,84,54,4,Faiza Iqbal,2025-02-24,12.6,2,1
BID-0308,PAF,Telecom,PKR 60.5M,60,Win,53,86,160,0,Zara Hussain,2025-07-11,60.5,7,3
BID-0309,SBP,Logistics,PKR 164.2M,60,Loss,74,62,382,1,Zara Hussain,2025-08-07,164.2,8,3
BID-0310,OGDCL,Logistics,PKR 405.6M,59,Loss,138,64,225,7,Usman Raza,2025-07-04,405.6,7,3
BID-0311,PAF,Healthcare,PKR 481.4M,69,Loss,133,92,310,4,Kamran Ali,2025-03-10,481.4,3,1
BID-0312,PTCL,Logistics,PKR 397.1M,65,Win,164,86,433,5,Nadia Ahmed,2025-11-13,397.1,11,4
BID-0313,FWO,Healthcare,PKR 348.4M,71,Win,45,82,447,1,Kamran Ali,2025-05-10,348.4,5,2
BID-0314,WAPDA,Logistics,PKR 265.4M,64,Loss,155,71,183,5,Nadia Ahmed,2025-02-24,265.4,2,1
BID-0315,PEMRA,Construction,PKR 52.5M,74,Win,66,85,411,1,Asif Khan,2025-04-07,52.5,4,2
BID-0316,PSO,Energy,PKR 479.5M,41,Win,132,62,162,2,Zara Hussain,2025-12-02,479.5,12,4
BID-0317,PEMRA,Logistics,PKR 381.6M,71,Win,95,94,256,1,Usman Raza,2025-03-28,381.6,3,1
BID-0318,NESPAK,Energy,PKR 323.1M,81,Win,91,79,218,4,Bilal Sheikh,2025-10-21,323.1,10,4
BID-0319,NDMA,Energy,PKR 381.9M,58,Loss,108,63,294,3,Tariq Mehmood,2025-04-29,381.9,4,2
BID-0320,BISP,Education,PKR 364.8M,50,Loss,65,56,401,1,Faiza Iqbal,2025-07-27,364.8,7,3
BID-0321,NLC,Logistics,PKR 322.2M,66,Loss,52,69,163,3,Hira Noor,2025-11-30,322.2,11,4
BID-0322,NLC,IT Services,PKR 490.5M,74,Loss,20,57,240,2,Faiza Iqbal,2025-06-03,490.5,6,2
BID-0323,NDMA,Education,PKR 452.6M,59,Win,166,90,89,2,Hira Noor,2025-02-04,452.6,2,1
BID-0324,NBP,IT Services,PKR 326.9M,61,Loss,50,58,406,1,Asif Khan,2025-03-20,326.9,3,1
BID-0325,PTCL,Energy,PKR 349.7M,55,Win,161,68,424,3,Kamran Ali,2025-03-08,349.7,3,1
BID-0326,PIA,Energy,PKR 35.3M,61,Loss,72,95,393,2,Sara Malik,2025-12-09,35.3,12,4
BID-0327,Jazz,Education,PKR 338.3M,64,Win,67,95,393,3,Zara Hussain,2025-02-03,338.3,2,1
BID-0328,BISP,Education,PKR 31.6M,61,Loss,88,79,242,3,Bilal Sheikh,2025-04-07,31.6,4,2
BID-0329,ERRA,IT Services,PKR 298.2M,65,Loss,124,64,245,5,Hira Noor,2025-06-18,298.2,6,2
BID-0330,HEC,Healthcare,PKR 499.7M,61,Loss,109,75,255,6,Tariq Mehmood,2025-06-18,499.7,6,2
BID-0331,FWO,IT Services,PKR 282.3M,82,Win,82,90,160,3,Hira Noor,2025-05-31,282.3,5,2
BID-0332,WAPDA,Education,PKR 241.9M,52,Loss,92,66,105,5,Sara Malik,2025-03-12,241.9,3,1
BID-0333,NESPAK,Telecom,PKR 163.3M,81,Loss,108,81,315,2,Faiza Iqbal,2025-01-03,163.3,1,1
BID-0334,NESPAK,Education,PKR 69.1M,89,Win,32,94,306,2,Usman Raza,2025-11-10,69.1,11,4
BID-0335,HEC,Telecom,PKR 368.2M,70,Loss,92,56,185,4,Faiza Iqbal,2025-02-01,368.2,2,1
BID-0336,SBP,Construction,PKR 104.4M,57,Loss,96,67,277,3,Asif Khan,2025-10-14,104.4,10,4
BID-0337,OGDCL,Education,PKR 66.5M,77,Win,87,86,247,2,Usman Raza,2025-03-23,66.5,3,1
BID-0338,Jazz,Construction,PKR 216.7M,68,Win,117,85,219,1,Faiza Iqbal,2025-02-12,216.7,2,1
BID-0339,PAF,Healthcare,PKR 399.7M,58,Loss,144,70,446,5,Tariq Mehmood,2025-04-15,399.7,4,2
BID-0340,PTCL,IT Services,PKR 375.1M,71,Loss,121,86,192,3,Faiza Iqbal,2025-01-01,375.1,1,1
BID-0341,BISP,Telecom,PKR 36.9M,65,Win,151,86,209,4,Tariq Mehmood,2025-03-02,36.9,3,1
BID-0342,PIMS,IT Services,PKR 233.0M,66,Win,121,88,63,1,Tariq Mehmood,2025-09-27,233.0,9,3
BID-0343,WAPDA,Construction,PKR 266.0M,77,Win,38,65,70,3,Usman Raza,2025-06-29,266.0,6,2
BID-0344,PTCL,Telecom,PKR 325.8M,61,Loss,101,64,336,4,Kamran Ali,2025-08-12,325.8,8,3
BID-0345,PSO,IT Services,PKR 328.6M,56,Loss,160,69,367,2,Nadia Ahmed,2025-01-06,328.6,1,1
BID-0346,PAF,Education,PKR 188.7M,63,Loss,42,71,343,2,Zara Hussain,2025-04-13,188.7,4,2
BID-0347,NEPRA,Energy,PKR 284.7M,71,Loss,102,94,104,2,Hira Noor,2025-01-10,284.7,1,1
BID-0348,PIA,Construction,PKR 245.7M,61,Loss,128,72,308,4,Nadia Ahmed,2025-03-12,245.7,3,1
BID-0349,NDMA,IT Services,PKR 443.6M,61,Win,94,63,205,5,Sara Malik,2025-03-31,443.6,3,1
BID-0350,NBP,Construction,PKR 269.8M,60,Win,148,79,413,2,Kamran Ali,2025-08-14,269.8,8,3
BID-0351,NDMA,Finance,PKR 226.1M,70,Loss,107,94,179,2,Nadia Ahmed,2025-06-07,226.1,6,2
BID-0352,HEC,Construction,PKR 208.2M,66,Win,73,68,302,4,Usman Raza,2025-08-16,208.2,8,3
BID-0353,CDA,Telecom,PKR 290.5M,52,Win,108,79,354,0,Sara Malik,2025-05-06,290.5,5,2
BID-0354,NESPAK,Finance,PKR 403.9M,58,Loss,162,76,137,3,Bilal Sheikh,2025-07-28,403.9,7,3
BID-0355,FWO,Logistics,PKR 273.8M,78,Win,84,84,168,0,Kamran Ali,2025-04-07,273.8,4,2
BID-0356,FWO,Telecom,PKR 334.2M,67,Win,95,74,379,2,Nadia Ahmed,2025-03-15,334.2,3,1
BID-0357,BISP,Energy,PKR 371.5M,70,Loss,162,75,300,2,Sara Malik,2025-04-25,371.5,4,2
BID-0358,NLC,Finance,PKR 264.9M,88,Loss,168,98,376,1,Bilal Sheikh,2025-07-10,264.9,7,3
BID-0359,PSO,Logistics,PKR 219.1M,73,Win,166,86,448,4,Faiza Iqbal,2025-06-19,219.1,6,2
BID-0360,WAPDA,Education,PKR 439.6M,56,Loss,79,75,318,5,Sara Malik,2025-11-03,439.6,11,4
BID-0361,PAF,Construction,PKR 214.6M,64,Loss,112,89,241,1,Usman Raza,2025-07-23,214.6,7,3
BID-0362,FWO,IT Services,PKR 236.4M,84,Loss,68,86,410,4,Faiza Iqbal,2025-02-25,236.4,2,1
BID-0363,PSO,Healthcare,PKR 495.3M,62,Win,54,84,301,0,Usman Raza,2025-07-27,495.3,7,3
BID-0364,SBP,Construction,PKR 10.1M,54,Win,121,93,447,6,Nadia Ahmed,2025-02-10,10.1,2,1
BID-0365,HEC,Logistics,PKR 100.9M,72,Loss,30,66,95,5,Zara Hussain,2025-02-01,100.9,2,1
BID-0366,PIMS,Construction,PKR 198.1M,55,Loss,118,95,277,1,Nadia Ahmed,2025-01-15,198.1,1,1
BID-0367,NESPAK,Energy,PKR 467.0M,64,Loss,129,72,185,5,Faiza Iqbal,2025-03-03,467.0,3,1
BID-0368,PSO,Education,PKR 44.3M,73,Win,93,75,76,1,Tariq Mehmood,2025-06-04,44.3,6,2
BID-0369,NDMA,Healthcare,PKR 14.6M,64,Win,28,67,230,4,Nadia Ahmed,2025-10-11,14.6,10,4
BID-0370,HEC,Finance,PKR 35.8M,97,Win,22,75,177,2,Faiza Iqbal,2025-07-28,35.8,7,3
BID-0371,PEMRA,Finance,PKR 53.4M,56,Win,104,62,153,1,Sara Malik,2025-11-16,53.4,11,4
BID-0372,HEC,Finance,PKR 28.4M,89,Win,45,94,30,3,Asif Khan,2025-07-06,28.4,7,3
BID-0373,BISP,Logistics,PKR 245.1M,71,Win,91,61,276,3,Nadia Ahmed,2025-05-10,245.1,5,2
BID-0374,NBP,Telecom,PKR 294.6M,67,Win,67,77,372,6,Sara Malik,2025-05-07,294.6,5,2
BID-0375,PEMRA,Telecom,PKR 143.1M,65,Win,136,98,157,0,Usman Raza,2025-10-19,143.1,10,4
BID-0376,PTCL,IT Services,PKR 205.2M,94,Win,31,86,220,3,Kamran Ali,2025-04-24,205.2,4,2
BID-0377,HEC,Healthcare,PKR 54.9M,56,Loss,152,65,96,5,Zara Hussain,2025-07-18,54.9,7,3
BID-0378,NESPAK,Finance,PKR 174.8M,94,Win,67,76,33,1,Usman Raza,2025-01-13,174.8,1,1
BID-0379,PSO,Telecom,PKR 266.0M,63,Loss,56,76,438,3,Usman Raza,2025-09-28,266.0,9,3
BID-0380,PSO,Logistics,PKR 368.8M,74,Win,63,97,332,4,Faiza Iqbal,2025-03-30,368.8,3,1
BID-0381,SBP,IT Services,PKR 11.6M,68,Loss,34,79,323,2,Tariq Mehmood,2025-08-03,11.6,8,3
BID-0382,OGDCL,Education,PKR 239.0M,58,Loss,62,76,172,3,Hira Noor,2025-10-05,239.0,10,4
BID-0383,FWO,IT Services,PKR 155.5M,77,Win,106,82,220,7,Asif Khan,2025-07-22,155.5,7,3
BID-0384,HEC,Telecom,PKR 427.9M,77,Loss,89,83,50,1,Tariq Mehmood,2025-03-15,427.9,3,1
BID-0385,PIA,Energy,PKR 360.6M,72,Loss,65,67,256,3,Faiza Iqbal,2025-01-25,360.6,1,1
BID-0386,HEC,Logistics,PKR 298.7M,52,Loss,127,72,342,3,Zara Hussain,2025-04-11,298.7,4,2
BID-0387,OGDCL,Energy,PKR 145.9M,37,Loss,142,56,146,1,Asif Khan,2025-06-25,145.9,6,2
BID-0388,NLC,Finance,PKR 456.1M,81,Loss,40,83,331,1,Asif Khan,2025-04-27,456.1,4,2
BID-0389,PTCL,Energy,PKR 32.1M,65,Loss,126,75,171,2,Faiza Iqbal,2025-06-15,32.1,6,2
BID-0390,PIA,Finance,PKR 63.6M,51,Loss,99,69,430,2,Bilal Sheikh,2025-02-10,63.6,2,1
BID-0391,NDMA,Finance,PKR 201.9M,73,Loss,66,81,68,6,Usman Raza,2025-12-10,201.9,12,4
BID-0392,FWO,Telecom,PKR 71.0M,53,Loss,136,85,422,1,Kamran Ali,2025-04-30,71.0,4,2
BID-0393,HEC,Energy,PKR 478.6M,47,Loss,143,69,384,3,Bilal Sheikh,2025-04-07,478.6,4,2
BID-0394,PAF,Finance,PKR 401.0M,50,Loss,162,77,281,3,Faiza Iqbal,2025-05-25,401.0,5,2
BID-0395,OGDCL,Healthcare,PKR 136.9M,85,Win,44,78,362,4,Bilal Sheikh,2025-08-04,136.9,8,3
BID-0396,PSO,Education,PKR 298.4M,90,Win,55,98,236,2,Kamran Ali,2025-08-17,298.4,8,3
BID-0397,PSO,IT Services,PKR 491.3M,39,Win,70,67,239,3,Faiza Iqbal,2025-11-09,491.3,11,4
BID-0398,NLC,IT Services,PKR 443.3M,75,Win,34,76,144,4,Faiza Iqbal,2025-05-10,443.3,5,2
BID-0399,NBP,Telecom,PKR 304.4M,68,Win,87,97,254,2,Asif Khan,2025-12-18,304.4,12,4
BID-0400,PTCL,Energy,PKR 452.8M,68,Loss,40,91,163,3,Bilal Sheikh,2025-11-14,452.8,11,4
BID-0401,NESPAK,Energy,PKR 494.7M,82,Loss,160,87,280,2,Sara Malik,2025-05-17,494.7,5,2
BID-0402,NEPRA,Finance,PKR 374.2M,45,Loss,38,57,248,4,Nadia Ahmed,2025-11-20,374.2,11,4
BID-0403,PIMS,Logistics,PKR 41.8M,37,Loss,53,73,436,1,Faiza Iqbal,2025-12-03,41.8,12,4
BID-0404,FWO,Construction,PKR 206.8M,80,Loss,97,77,120,3,Bilal Sheikh,2025-09-30,206.8,9,3
BID-0405,FWO,Finance,PKR 420.5M,58,Loss,144,83,383,5,Hira Noor,2025-04-27,420.5,4,2
BID-0406,NDMA,Education,PKR 123.0M,50,Loss,136,84,405,2,Zara Hussain,2025-11-02,123.0,11,4
BID-0407,ERRA,Healthcare,PKR 417.0M,69,Win,71,93,75,4,Hira Noor,2025-04-04,417.0,4,2
BID-0408,HEC,IT Services,PKR 69.0M,86,Win,46,98,67,2,Bilal Sheikh,2025-06-17,69.0,6,2
BID-0409,NESPAK,Finance,PKR 33.0M,78,Win,54,79,171,1,Usman Raza,2025-07-22,33.0,7,3
BID-0410,PIMS,Construction,PKR 198.2M,60,Loss,155,91,129,3,Usman Raza,2025-12-07,198.2,12,4
BID-0411,FWO,Construction,PKR 28.0M,54,Loss,163,62,357,4,Bilal Sheikh,2025-05-29,28.0,5,2
BID-0412,FWO,Finance,PKR 479.1M,78,Win,125,96,219,7,Asif Khan,2025-07-02,479.1,7,3
BID-0413,WAPDA,Telecom,PKR 414.8M,66,Loss,165,70,64,4,Asif Khan,2025-06-01,414.8,6,2
BID-0414,PIA,IT Services,PKR 402.4M,93,Win,21,62,176,6,Faiza Iqbal,2025-03-15,402.4,3,1
BID-0415,ERRA,Telecom,PKR 318.6M,65,Win,96,55,59,4,Kamran Ali,2025-12-31,318.6,12,4
BID-0416,NESPAK,Healthcare,PKR 116.0M,79,Win,151,98,363,1,Nadia Ahmed,2025-10-01,116.0,10,4
BID-0417,PAF,Construction,PKR 263.9M,54,Loss,109,59,113,1,Faiza Iqbal,2025-02-11,263.9,2,1
BID-0418,NESPAK,Construction,PKR 302.7M,35,Loss,108,57,398,7,Hira Noor,2025-07-31,302.7,7,3
BID-0419,PEMRA,Education,PKR 267.3M,78,Win,113,55,310,4,Nadia Ahmed,2025-04-11,267.3,4,2
BID-0420,NLC,Healthcare,PKR 137.5M,58,Loss,26,58,373,3,Hira Noor,2025-02-14,137.5,2,1
BID-0421,NDMA,Construction,PKR 262.5M,78,Win,114,94,299,3,Asif Khan,2025-03-23,262.5,3,1
BID-0422,NEPRA,Healthcare,PKR 250.7M,68,Loss,127,89,183,3,Bilal Sheikh,2025-01-17,250.7,1,1
BID-0423,PIMS,IT Services,PKR 498.2M,88,Win,93,86,131,3,Kamran Ali,2025-03-14,498.2,3,1
BID-0424,NBP,Energy,PKR 449.7M,61,Loss,58,96,244,1,Hira Noor,2025-01-14,449.7,1,1
BID-0425,WAPDA,Construction,PKR 237.1M,72,Loss,160,88,179,1,Asif Khan,2025-06-06,237.1,6,2
BID-0426,PIA,Education,PKR 315.2M,82,Win,90,97,112,3,Kamran Ali,2025-08-11,315.2,8,3
BID-0427,NLC,IT Services,PKR 376.5M,83,Win,75,79,139,0,Faiza Iqbal,2025-05-12,376.5,5,2
BID-0428,NDMA,Finance,PKR 27.1M,59,Loss,61,64,416,3,Bilal Sheikh,2025-12-04,27.1,12,4
BID-0429,CDA,Healthcare,PKR 448.5M,87,Win,55,75,304,3,Zara Hussain,2025-02-16,448.5,2,1
BID-0430,SBP,Finance,PKR 431.5M,70,Win,103,93,230,0,Usman Raza,2025-04-17,431.5,4,2
BID-0431,OGDCL,Telecom,PKR 234.1M,55,Win,137,81,313,2,Tariq Mehmood,2025-04-18,234.1,4,2
BID-0432,NEPRA,IT Services,PKR 201.7M,66,Loss,26,81,202,1,Kamran Ali,2025-09-22,201.7,9,3
BID-0433,PAF,Finance,PKR 143.8M,47,Loss,73,56,356,2,Zara Hussain,2025-07-24,143.8,7,3
BID-0434,ERRA,Logistics,PKR 243.6M,61,Loss,148,95,235,4,Zara Hussain,2025-03-20,243.6,3,1
BID-0435,OGDCL,Logistics,PKR 31.7M,66,Win,139,67,92,4,Kamran Ali,2025-06-04,31.7,6,2
BID-0436,OGDCL,Construction,PKR 427.6M,69,Loss,125,63,102,1,Zara Hussain,2025-09-28,427.6,9,3
BID-0437,PIA,Healthcare,PKR 27.4M,61,Win,66,90,280,3,Hira Noor,2025-09-04,27.4,9,3
BID-0438,HEC,Energy,PKR 171.2M,49,Win,142,76,153,3,Zara Hussain,2025-01-19,171.2,1,1
BID-0439,CDA,IT Services,PKR 466.5M,75,Loss,160,96,404,2,Asif Khan,2025-12-12,466.5,12,4
BID-0440,PIMS,Construction,PKR 370.3M,48,Loss,138,80,150,2,Nadia Ahmed,2025-01-26,370.3,1,1
BID-0441,NBP,Education,PKR 147.9M,43,Loss,169,66,304,3,Hira Noor,2025-08-05,147.9,8,3
BID-0442,PIMS,Telecom,PKR 133.8M,50,Loss,137,71,427,2,Zara Hussain,2025-06-03,133.8,6,2
BID-0443,PSO,Healthcare,PKR 12.5M,52,Win,40,68,149,3,Faiza Iqbal,2025-06-03,12.5,6,2
BID-0444,OGDCL,IT Services,PKR 350.9M,61,Win,156,68,346,2,Usman Raza,2025-06-23,350.9,6,2
BID-0445,NEPRA,Logistics,PKR 33.9M,96,Win,45,88,193,1,Bilal Sheikh,2025-04-02,33.9,4,2
BID-0446,NBP,IT Services,PKR 271.0M,56,Loss,28,74,315,0,Zara Hussain,2025-12-04,271.0,12,4
BID-0447,SBP,Energy,PKR 481.4M,53,Loss,34,65,294,3,Sara Malik,2025-06-30,481.4,6,2
BID-0448,HEC,Logistics,PKR 63.6M,80,Win,29,70,349,4,Usman Raza,2025-05-11,63.6,5,2
BID-0449,NESPAK,Energy,PKR 448.3M,59,Loss,141,85,190,4,Faiza Iqbal,2025-10-25,448.3,10,4
BID-0450,NBP,Education,PKR 495.8M,55,Win,140,60,405,3,Asif Khan,2025-10-02,495.8,10,4
BID-0451,PAF,Telecom,PKR 40.1M,37,Loss,144,73,337,3,Zara Hussain,2025-09-30,40.1,9,3
BID-0452,PIMS,Education,PKR 442.6M,87,Win,91,91,118,6,Asif Khan,2025-03-17,442.6,3,1
BID-0453,CDA,Construction,PKR 262.9M,51,Win,68,58,171,4,Zara Hussain,2025-06-26,262.9,6,2
